1863,7,24,Friday,DWR_1863_07-20.jpg
NAIRN,29.84,53,3,0.25
ABERDEEN,29.85,55,5,0
LEITH,29.92,56,3,0
SHIELDS,30.01,53,3,0
SCARBOROUGH,30.01,54,4,0.35
GREENCASTLE,29.99,56,2,0.07
GALWAY,30.05,64,5,0
VALENTIA,30.17,60,2,0.09
QUEENSTOWN,30.17,60,2,0
LIVERPOOL,30.09,56,5,0
HOLYHEAD,30.07,56,2,0
PEMBROKE,30.15,57,2,0
PENZANCE,30.22,58,2,0
BREST,30.24,61,4,0.04
LORIENT,30.16,59,2,0.12
ROCHEFORT,30.28,61,2,0.04
PLYMOUTH,30.18,60,3,0
WEYMOUTH,30.16,60,3,0
PORTSMOUTH,30.12,58,4,0
LONDON,30.13,57,5,0
DOVER,30.13,62,4,0
YARMOUTH,30.05,55,4,0
HELDER,999,999,999,999
HELIGOLAND,29.88,55,4,0
