1862,10,21,Tuesday,DWR_1862_10-17.jpg
NAIRN,29.27,41,40,0.2
ABERDEEN,29.2,42,39,0
LEITH,29.39,44,40,0
BERWICK,29.36,44,41,0
ARDROSSAN,29.47,47,43,0.44
PORTRUSH,999,999,999,999
GALWAY,29.8,49,47,0.25
VALENTIA,29.98,52,51,0.26
QUEENSTOWN,29.94,54,51,0
HOLYHEAD,29.66,54,51,0
LIVERPOOL,29.57,50,47,0.2
PEMBROKE,29.8,53,50,0
PENZANCE,29.99,53,52,0.3
PLYMOUTH,29.9,51,50,0.28
JERSEY,30,52,50,0.29
WEYMOUTH,29.82,52,50,0.12
PORTSMOUTH,29.81,48,45,0.13
DOVER,29.79,46,43,0
LONDON,29.74,46,42,0
YARMOUTH,29.62,44,42,0
SCARBOROUGH,29.45,44,41,0
SHIELDS,29.41,44,42,0
HELIGOLAND,29.27,50,45,0.53
HELDER,29.5,50,999,0
COPENHAGEN,29.03,47,999,0
BREST,30.11,53,999,0
BAYONNE,999,59,999,0
LISBON,30.28,59,999,0
