1863,9,10,Thursday,DWR_1863_09-8.jpg
NAIRN,29.83,49,2,0.1
ABERDEEN,29.82,51,4,0
LEITH,29.85,51,3,0
SHIELDS,29.88,52,4,0
SCARBOROUGH,29.83,54,3,0
GREENCASTLE,29.95,51,2,0.3
GALWAY,30.07,54,2,0
VALENTIA,30.12,56,4,0.24
QUEENSTOWN,?29.94,54,2,0
LIVERPOOL,29.9,55,3,0.07
HOLYHEAD,29.9,53,3,0
PEMBROKE,29.98,54,4,0
PENZANCE,30.08,56,1,0
BREST,30.08,55,2,0.16
LORIENT,30,54,2,0.08
ROCHEFORT,30.12,59,3,0
PLYMOUTH,30.02,57,5,0
WEYMOUTH,29.97,54,4,0.07
PORTSMOUTH,29.9,54,3,0.13
LONDON,29.88,52,2,0.27
DOVER,29.87,57,4,0.08
YARMOUTH,29.76,57,2,0
HELIGOLAND,29.71,56,0,0.22
