1862,4,11,Friday,DWR_1862_04-9.jpg
NAIRN,30.48,34,31,0
ABERDEEN,30.39,35,31,0
LEITH,30.42,39,34,0
BERWICK,30.4,47,46,0
ARDROSSAN,30.41,41,39,0
PORTRUSH,30.45,39,37,0
GALWAY,30.48,46,44,0
SHIELDS,30.36,40,36,0
SCARBOROUGH,30.29,42,39,0
HELIGOLAND,30.04,47,45,0
LIVERPOOL,30.32,42,38,0
QUEENSTOWN,30.28,49,48,0
VALENTIA,30.3,47,43,0
YARMOUTH,30.13,43,41,0
LONDON,30.14,44,43,0.02
DOVER,30.06,45,44,0
PORTSMOUTH,30.07,45,44,0
PORTLAND,30.1,46,43,0.12
PLYMOUTH,30.08,47,45,0.16
PENZANCE,30.15,47,46,0.32
JERSEY,30.04,49,48,0.53
COPENHAGEN,29.85,39,999,0
HELDER,30.04,44,999,0
BREST,29.99,47,999,0
BAYONNE,999,58,999,0
LISBON,29.87,58,999,0
