1863,7,29,Wednesday,DWR_1863_07-24.jpg
NAIRN,30.1,55,7,0
ABERDEEN,30.08,55,5,0.25
LEITH,30.07,57,4,0
SHIELDS,30.07,58,4,0
SCARBOROUGH,30.01,61,4,0
GREENCASTLE,30.14,57,4,0
GALWAY,30.17,61,3,0
VALENTIA,30.15,62,5,0
QUEENSTOWN,30.12,60,2,0
LIVERPOOL,30.09,61,6,0
HOLYHEAD,30.08,57,2,0
PEMBROKE,30.09,61,2,0
PENZANCE,30.13,61,2,0
BREST,30.08,63,3,0
LORIENT,30,61,5,0
ROCHEFORT,30,68,4,0
PLYMOUTH,30.08,65,5,0
WEYMOUTH,30.04,65,5,0
PORTSMOUTH,29.99,62,4,0
LONDON,30.03,63,4,0
DOVER,30.01,999,999,0
YARMOUTH,29.99,61,2,0
HELDER,29.99,60,999,0
HELIGOLAND,29.99,59,1,0
