1863,12,8,Tuesday,DWR_1863_12-6.jpg
NAIRN,29.35,43,1,0.7
ABERDEEN,29.34,51,5,0.1
LEITH,29.54,48,2,0.18
SHIELDS,29.63,52,4,0
SCARBOROUGH,29.8,51,3,0
GREENCASTLE,29.66,43,1,0.29
GALWAY,29.75,51,0,0.6
VALENTIA,29.88,52,1,0.22
CAPE CLEAR,29.99,49,1,0
QUEENSTOWN,29.91,51,1,0
LIVERPOOL,29.93,50,4,0
HOLYHEAD,29.9,50,0,0
PEMBROKE,30.12,49,1,0.15
PENZANCE,30.26,49,2,0
BREST,30.32,50,3,0
LORIENT,30.32,41,0,0
ROCHEFORT,30.36,34,0,0
PLYMOUTH,30.27,49,2,0
WEYMOUTH,30.24,49,2,0
PORTSMOUTH,30.26,50,4,0
LONDON,30.19,47,2,0
DOVER,30.24,50,1,0
YARMOUTH,30.09,48,1,0
HELIGOLAND,30.05,46,0,0
