1862,4,8,Tuesday,DWR_1862_04-6.jpg
NAIRN,30.29,42,41,0
ABERDEEN,30.33,43,42,0
LEITH,30.34,47,45,0
BERWICK,30.38,46,43,0
ARDROSSAN,30.34,46,44,0
PORTRUSH,30.29,49,48,0
GALWAY,30.28,54,53,0
SHIELDS,30.38,45,42,0
SCARBOROUGH,30.39,44,42,0
HELIGOLAND,30.38,41,40,0
LIVERPOOL,30.36,46,44,0
QUEENSTOWN,30.27,55,54,0
VALENTIA,30.27,52,51,0
YARMOUTH,30.29,43,42,0
LONDON,30.29,46,44,0.03
DOVER,30.23,47,46,0.5
PORTSMOUTH,30.26,48,46,0
PORTLAND,30.29,49,47,0.6
PLYMOUTH,30.24,51,50,0
PENZANCE,30.29,51,50,0
JERSEY,30.27,52,51,0
COPENHAGEN,999,999,999,999
HELDER,30.28,45,999,0
BREST,30.26,50,999,0
BAYONNE,999,56,999,0
LISBON,999,999,999,999
