1863,3,14,Saturday,DWR_1863_03-12.jpg
NAIRN,29.4,31,2,0.55
ABERDEEN,29.38,38,1,0.28
LEITH,29.36,41,2,0
ARDROSSAN,29.33,39,1,0
PORTRUSH,29.26,39,1,0
GALWAY,29.27,42,1,0.35
VALENTIA,29.43,45,0,0.3
QUEENSTOWN,29.36,43,1,0
HOLYHEAD,29.28,42,1,0
LIVERPOOL,29.42,37,2,0
PEMBROKE,29.37,45,2,0
PENZANCE,29.45,44,1,0.35
BREST,29.41,46,2,0.67
LORIENT,29.57,41,1,0.08
ROCHEFORT,29.69,43,1,0.04
PLYMOUTH,29.48,42,1,0
WEYMOUTH,29.46,45,3,0
PORTSMOUTH,29.48,41,2,0
KEW,29.54,28,999,0
LONDON,29.54,30,999,0
YARMOUTH,29.54,37,1,0
SCARBOROUGH,29.44,39,1,0
SHIELDS,29.44,43,3,0
HELIGOLAND,29.58,36,0,0
COPENHAGEN,29.54,32,999,0
HELDER,29.56,40,999,0
BAYONNE,999,50,999,0
LISBON,999,999,999,999
