1863,12,26,Saturday,DWR_1863_12-22.jpg
NAIRN,29.55,39,2,0
ABERDEEN,999,999,999,999
LEITH,29.71,46,2,0
ARDROSSAN,999,999,999,999
GREENCASTLE,29.8,44,1,0.2
GALWAY,29.95,46,2,0.21
VALENTIA,30.02,46,2,0.35
CAPE CLEAR,29.99,45,0,0.17
QUEENSTOWN,29.89,50,1,0
LIVERPOOL,29.93,47,1,0.04
HOLYHEAD,29.91,48,1,0.15
PEMBROKE,30.01,50,1,0.15
PENZANCE,30.15,52,0,0
BREST,30.24,50,1,0.04
LORIENT,30.24,45,0,0.12
ROCHEFORT,30.36,43,2,0
PLYMOUTH,30.11,51,1,0
WEYMOUTH,30.08,51,1,0
PORTSMOUTH,30.1,49,1,0.08
LONDON,30.07,48,2,0
DOVER,30.12,48,1,0
YARMOUTH,29.98,46,1,0
SCARBOROUGH,29.84,49,2,0
SHIELDS,29.81,46,3,0
HELIGOLAND,29.9,43,0,0
