1863,12,2,Wednesday,DWR_1863_12-1.jpg
NAIRN,29.22,35,2,0.1
ABERDEEN,29.22,44,2,0.35
LEITH,29.17,44,2,0
SHIELDS,29.15,47,2,0.32
SCARBOROUGH,29.17,47,1,0.61
GREENCASTLE,29.22,40,1,0.5
GALWAY,29.31,40,2,0.52
VALENTIA,29.44,44,3,1.27
QUEENSTOWN,29.25,42,1,0.42
LIVERPOOL,29.04,47,1,0.08
HOLYHEAD,29.01,46,0,999
PEMBROKE,28.97,50,0,0.5
PENZANCE,29.24,45,1,0.85
BREST,29.33,48,4,1.26
LORIENT,29.29,46,0,0.98
ROCHEFORT,29.57,36,2,0.28
PLYMOUTH,28.99,50,1,0.45
WEYMOUTH,28.98,51,2,0.69
PORTSMOUTH,28.99,49,1,0.7
LONDON,29.04,49,1,999
DOVER,29.07,51,1,0.5
YARMOUTH,29.26,49,1,0
HELIGOLAND,29.72,40,1,0
