1862,4,3,Thursday,DWR_1862_04-2.jpg
NAIRN,29.33,49,46,0
ABERDEEN,29.4,47,45,0
LEITH,29.45,52,48,0
BERWICK,29.48,52,49,0
ARDROSSAN,?29.46,48,47,0
PORTRUSH,29.45,47,46,0
GALWAY,29.58,45,44,0
SHIELDS,29.51,50,47,0
SCARBOROUGH,29.55,49,47,0
HELIGOLAND,29.74,49,46,0
LIVERPOOL,29.58,49,46,0.01
QUEENSTOWN,29.55,52,51,0
VALENTIA,29.58,45,44,0.33
YARMOUTH,29.58,52,51,0
LONDON,29.6,50,48,0.23
DOVER,29.56,51,50,0.45
PORTSMOUTH,29.59,48,47,0.29
PORTLAND,29.64,50,49,0.45
PLYMOUTH,29.58,52,51,0.51
PENZANCE,29.61,52,51,0.4
JERSEY,29.71,50,49,0.32
COPENHAGEN,29.82,42,999,0
HELDER,29.68,53,999,0
BREST,29.66,51,999,0
BAYONNE,999,51,999,0
LISBON,30.14,57,999,0
