1863,6,5,Friday,DWR_1863_06-4.jpg
NAIRN,29.8,55,5,0
ABERDEEN,29.81,51,5,0.2
LEITH,29.83,55,5,0.09
ARDROSSAN,29.84,54,3,0.9
GREENCASTLE,29.84,50,2,0.13
GALWAY,29.71,56,0,0.5
VALENTIA,29.8,58,1,999
QUEENSTOWN,29.82,59,1,0.64
SHIELDS,29.93,53,4,0
SCARBOROUGH,29.93,55,4,0
LIVERPOOL,29.95,58,7,0.01
HOLYHEAD,29.9,53,3,0
PEMBROKE,29.92,57,1,0.21
PENZANCE,30.04,57,1,0.35
BREST,30.12,59,4,0
LORIENT,30.12,57,3,0
ROCHEFORT,30.2,57,4,0
BAYONNE,30.04,66,999,0
PLYMOUTH,30.04,56,1,0
WEYMOUTH,30.05,56,2,0
PORTSMOUTH,30.04,60,4,0
LONDON,30.04,58,4,0
DOVER,30,60,2,0
YARMOUTH,29.98,59,6,0
HELDER,29.97,54,999,0
HELIGOLAND,29.93,52,1,0
COPENHAGEN,29.97,54,999,0
LISBON,999,999,999,999
