1862,11,14,Friday,DWR_1862_11-12.jpg
NAIRN,29.87,33,1,0.16
ABERDEEN,29.88,40,1,0.11
LEITH,29.9,41,1,0
BERWICK,29.91,41,2,0
ARDROSSAN,29.91,40,1,0.37
PORTRUSH,?29.99,40,2,0
GALWAY,30.06,40,1,0.38
VALENTIA,30.13,48,4,0.37
QUEENSTOWN,30.08,42,1,0.52
HOLYHEAD,29.91,47,3,0.75
LIVERPOOL,29.92,40,1,999
PEMBROKE,29.95,45,2,0.54
PENZANCE,30.03,46,1,0.37
PLYMOUTH,29.96,43,2,0.35
JERSEY,29.98,45,1,0
WEYMOUTH,29.92,45,1,0.14
PORTSMOUTH,29.89,43,2,0
DOVER,29.93,45,999,0
LONDON,29.94,34,2,0
YARMOUTH,29.95,38,2,0
SCARBOROUGH,29.94,35,2,0
SHIELDS,29.9,35,2,0
HELIGOLAND,29.9,46,0,0
HELDER,29.9,50,999,0
COPENHAGEN,30.06,44,999,0
BREST,30.03,44,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,47,999,0
LISBON,30.04,55,999,0
