1863,5,8,Friday,DWR_1863_05-6.jpg
NAIRN,30.19,50,4,0
ABERDEEN,30.22,48,4,0
LEITH,30.27,55,5,0
ARDROSSAN,30.31,50,2,0
PORTRUSH,30.27,49,2,0
GALWAY,30.29,55,3,0
VALENTIA,30.32,53,3,0
QUEENSTOWN,30.31,54,1,0
HOLYHEAD,30.32,56,4,0
LIVERPOOL,30.39,50,6,0
PEMBROKE,30.36,52,3,0
PENZANCE,30.35,54,1,0
BREST,30.28,55,1,0
LORIENT,30.2,54,4,0
ROCHEFORT,30.16,57,4,0
PLYMOUTH,30.35,54,4,0
WEYMOUTH,30.37,52,3,0
PORTSMOUTH,30.36,52,6,0
KEW,30.41,48,4,0
LONDON,30.41,50,4,0
DOVER,30.38,50,2,0
YARMOUTH,30.43,50,5,0
SCARBOROUGH,30.37,50,4,0
SHIELDS,30.38,50,5,0
HELIGOLAND,30.38,45,2,0
COPENHAGEN,30.21,44,999,0
HELDER,30.4,49,999,0
LISBON,999,999,999,999
