1863,9,8,Tuesday,DWR_1863_09-6.jpg
NAIRN,29.57,49,2,0.8
ABERDEEN,29.56,53,5,0.7
LEITH,29.68,53,4,0
SHIELDS,29.73,53,3,0
SCARBOROUGH,29.75,52,4,0
GREENCASTLE,29.75,52,2,0.15
GALWAY,29.84,55,0,0.35
VALENTIA,29.91,999,999,0.14
QUEENSTOWN,29.85,56,2,0
LIVERPOOL,29.87,55,4,0.07
HOLYHEAD,29.84,55,3,0.12
PEMBROKE,29.97,55,1,0
PENZANCE,30.09,57,2,0
BREST,30.16,57,2,0
LORIENT,30.12,59,3,0
ROCHEFORT,30.24,59,4,0.04
PLYMOUTH,30.08,58,3,0
WEYMOUTH,30.04,58,4,0.06
PORTSMOUTH,30.03,57,4,0
LONDON,30,53,3,0
DOVER,30.03,999,999,0
YARMOUTH,29.91,54,4,0
HELIGOLAND,29.7,55,3,0.49
