1863,8,10,Monday,DWR_1863_08-8.jpg
NAIRN,29.92,56,3,0.34
ABERDEEN,29.93,59,4,0
LEITH,29.96,62,4,0
SHIELDS,30.04,60,5,0
SCARBOROUGH,30.02,62,4,0
GREENCASTLE,29.98,59,3,0.17
GALWAY,999,999,999,999
VALENTIA,29.95,61,0,0.2
QUEENSTOWN,30.04,65,1,0.26
LIVERPOOL,30.07,64,6,0.02
HOLYHEAD,30.02,60,1,0.2
PEMBROKE,30.1,60,0,0.13
PENZANCE,30.15,65,2,0
BREST,30.16,66,3,0
LORIENT,30.12,64,4,0
ROCHEFORT,30.16,72,4,0
PLYMOUTH,30.13,67,3,0
WEYMOUTH,30.13,64,1,0
PORTSMOUTH,30.1,71,6,0
LONDON,30.12,68,5,0
DOVER,30.14,72,4,0
YARMOUTH,30.06,68,5,0
HELIGOLAND,999,62,2,0
