1863,10,5,Monday,DWR_1863_10-3.jpg
NAIRN,29.63,41,2,0.2
ABERDEEN,29.73,48,4,0
LEITH,29.78,48,4,0.1
SHIELDS,29.88,49,3,0
SCARBOROUGH,29.93,46,2,0
GREENCASTLE,29.79,44,2,0.18
GALWAY,29.85,48,2,0.5
VALENTIA,29.89,49,2,0.47
QUEENSTOWN,999,49,1,0.78
LIVERPOOL,29.93,50,1,0.51
HOLYHEAD,29.85,52,2,0.3
PEMBROKE,29.97,53,1,0.29
PENZANCE,30.04,52,2,0.2
BREST,30.04,54,0,0.2
LORIENT,30,57,0,0.28
ROCHEFORT,30.08,54,0,0
PLYMOUTH,30.04,51,3,0
WEYMOUTH,30.03,50,2,0.08
PORTSMOUTH,30.04,53,3,0.17
LONDON,30.05,46,2,0.04
DOVER,30.06,54,2,0
YARMOUTH,30.03,48,2,0
HELIGOLAND,30.05,52,1,0.48
