1862,3,31,Monday,DWR_1862_03-24.jpg
NAIRN,29.48,37,36,0
ABERDEEN,29.52,40,39,0.15
LEITH,29.5,42,40,0
BERWICK,29.52,41,39,0
ARDROSSAN,29.48,41,39,0.17
PORTRUSH,29.39,44,43,0
GALWAY,29.43,50,49,0
SHIELDS,29.51,42,41,0
SCARBOROUGH,29.52,42,41,0
HELIGOLAND,29.57,41,40,0
LIVERPOOL,29.5,46,45,0.18
QUEENSTOWN,29.49,51,50,0
VALENTIA,29.52,51,49,0.53
YARMOUTH,29.52,43,42,0.53
LONDON,29.53,48,46,0.04
DOVER,29.52,50,48,0
PORTSMOUTH,29.53,45,44,0.27
PORTLAND,29.55,49,48,0.06
PLYMOUTH,29.53,51,50,0
PENZANCE,29.61,51,49,0.25
JERSEY,29.64,49,48,1.08
COPENHAGEN,29.42,32,999,0
HELDER,29.5,46,999,0
BREST,29.66,48,999,0
BAYONNE,999,53,999,0
LISBON,30.2,56,999,0
