1863,6,1,Monday,DWR_1863_06-0.jpg
NAIRN,30.08,61,4,0.17
ABERDEEN,30.12,58,4,0.2
LEITH,30.15,55,1,0.12
ARDROSSAN,30.15,57,2,0.53
GREENCASTLE,30.11,59,1,999
GALWAY,30.16,60,0,0
VALENTIA,30.17,61,1,0
QUEENSTOWN,30.23,64,1,0.08
SHIELDS,30.25,54,3,1.5
SCARBOROUGH,30.25,53,3,0.2
LIVERPOOL,30.24,57,2,0.22
HOLYHEAD,30.19,56,1,0
PEMBROKE,30.25,59,3,0
PENZANCE,30.28,58,1,0
BREST,30.2,57,2,0
LORIENT,30.12,59,3,0
ROCHEFORT,30.08,64,3,0
BAYONNE,29.96,66,999,0
PLYMOUTH,30.28,57,3,0
WEYMOUTH,30.28,55,4,0
PORTSMOUTH,30.26,55,4,0
LONDON,30.31,55,4,0.09
DOVER,30.37,55,4,0
YARMOUTH,30.32,51,1,0
HELDER,30.29,50,999,0
HELIGOLAND,30.23,51,2,0
COPENHAGEN,30.17,51,999,0
LISBON,29.97,70,999,0
