1863,3,28,Saturday,DWR_1863_03-24.jpg
NAIRN,29.67,43,1,0.1
ABERDEEN,29.64,47,4,0
LEITH,29.73,51,5,0
ARDROSSAN,29.87,48,3,0
PORTRUSH,29.95,49,2,0
GALWAY,30.21,51,1,0
VALENTIA,30.36,56,999,0
QUEENSTOWN,30.28,52,1,0
HOLYHEAD,30.13,52,2,0
LIVERPOOL,30.02,49,2,0.02
PEMBROKE,30.21,50,2,0
PENZANCE,30.32,49,1,0
BREST,30.32,48,2,0
LORIENT,30.28,48,999,0
ROCHEFORT,30.32,45,2,0
PLYMOUTH,30.25,50,3,0
WEYMOUTH,30.15,50,3,0
PORTSMOUTH,30.06,50,3,0
KEW,30.01,50,4,0
LONDON,30,50,4,0
DOVER,30,49,2,0
YARMOUTH,29.85,50,3,0
SCARBOROUGH,29.76,50,3,0
SHIELDS,29.79,50,3,0
HELIGOLAND,29.53,43,0,0.13
COPENHAGEN,29.09,38,999,0
HELDER,29.72,47,999,0
LISBON,30.21,60,999,0
