1862,1,25,Saturday,DWR_1862_01-25.jpg
NAIRN,29.36,36,34,999
ABERDEEN,29.44,39,37,0.55
LEITH,29.53,40,37,999
BERWICK,29.45,41,38,999
ARDROSSAN,29.6,41,39,0.5
PORTRUSH,29.59,42,40,999
SHIELDS,29.57,42,40,999
GALWAY,29.75,36,35,999
SCARBOROUGH,29.56,42,41,999
LIVERPOOL,29.64,42,40,0.06
VALENTIA,29.83,41,39,0.18
QUEENSTOWN,29.81,40,39,999
YARMOUTH,29.66,43,42,0.35
LONDON,29.64,46,45,0.09
DOVER,29.65,48,47,999
PORTSMOUTH,29.65,47,45,999
PORTLAND,29.63,46,45,0.35
PLYMOUTH,29.64,45,43,999
PENZANCE,29.76,45,44,0.5
COPENHAGEN,999,999,999,999
HELDER,29.7,47,999,999
BREST,29.7,45,999,999
BAYONNE,30.11,55,999,999
LISBON,30.26,53,999,999
