1863,6,4,Thursday,DWR_1863_06-3.jpg
NAIRN,29.83,52,4,0
ABERDEEN,29.74,56,6,0
LEITH,29.91,54,5,0
ARDROSSAN,29.91,54,3,0.12
GREENCASTLE,29.92,49,1,0.23
GALWAY,30,56,2,0
VALENTIA,30.09,59,4,0.09
QUEENSTOWN,30.07,52,2,0
SHIELDS,29.97,57,5,0
SCARBOROUGH,29.95,56,4,0
LIVERPOOL,30.02,56,5,0
HOLYHEAD,30.15,54,3,0
PEMBROKE,30.1,54,5,0
PENZANCE,30.14,58,1,0
BREST,30.16,55,4,0
LORIENT,30.12,59,3,0
ROCHEFORT,30.2,61,3,0
BAYONNE,999,999,999,999
PLYMOUTH,30.08,60,7,0
WEYMOUTH,30.04,59,5,0
PORTSMOUTH,29.98,62,5,0
LONDON,30,62,7,0
DOVER,29.99,59,3,0
YARMOUTH,29.96,61,4,0
HELDER,999,999,999,999
HELIGOLAND,29.94,54,2,0
COPENHAGEN,999,999,999,999
LISBON,999,999,999,999
