1861,12,19,Thursday,DWR_1861_12-17.jpg
NAIRN,30.49,41,40,999
ABERDEEN,30.5,42,40,999
LEITH,30.48,43,41,999
BERWICK,30.42,47,44,999
ARDROSSAN,30.53,33,32,999
PORTRUSH,30.51,42,41,999
SHIELDS,30.41,45,43,999
GALWAY,30.54,35,34,999
SCARBOROUGH,30.33,45,43,999
LIVERPOOL,30.41,42,40,999
VALENTIA,30.49,41,39,999
QUEENSTOWN,30.43,41,40,999
YARMOUTH,30.33,43,41,0.35
LONDON,30.23,43,41,999
DOVER,30.14,44,999,0.24
PORTSMOUTH,30.19,43,41,999
PORTLAND,30.24,43,999,999
PLYMOUTH,30.23,43,40,999
PENZANCE,30.31,42,41,999
COPENHAGEN,30.13,35,999,999
HELDER,30.19,41,999,999
BREST,30.13,43,999,999
BAYONNE,29.87,46,999,999
LISBON,29.87,52,999,999
