1862,2,26,Wednesday,DWR_1862_02-25.jpg
NAIRN,30.59,33,31,0
ABERDEEN,30.62,40,39,0.11
LEITH,30.56,42,39,0
BERWICK,30.59,43,40,0
ARDROSSAN,30.54,40,38,0
PORTRUSH,30.49,38,37,0
GALWAY,30.4,41,39,0
SHIELDS,30.56,40,38,0
SCARBOROUGH,30.52,39,37,0
HELIGOLAND,30.51,31,999,0
LIVERPOOL,30.48,38,36,0
QUEENSTOWN,30.41,45,44,0
VALENTIA,?30.37,45,44,0
YARMOUTH,30.43,36,34,0
LONDON,30.35,38,35,0
DOVER,30.35,36,34,0
PORTSMOUTH,30.32,37,35,0
PORTLAND,30.35,38,35,0
PLYMOUTH,30.3,39,37,0
PENZANCE,30.37,43,41,0
COPENHAGEN,30.48,27,999,0
HELDER,30.43,31,999,0
BREST,30.22,41,999,0
BAYONNE,30.08,47,999,0
LISBON,29.82,51,999,999
