1863,11,13,Friday,DWR_1863_11-12.jpg
NAIRN,29.78,52,2,0
ABERDEEN,29.78,50,2,0
LEITH,29.91,52,2,0
SHIELDS,30.03,48,2,0
SCARBOROUGH,30.03,41,2,0
GREENCASTLE,999,51,1,0.1
GALWAY,30.17,51,1,0.12
VALENTIA,30.23,52,0,0.12
QUEENSTOWN,30.12,51,1,0
LIVERPOOL,30.19,44,2,0
HOLYHEAD,30.15,52,0,0
PEMBROKE,30.25,49,0,0
PENZANCE,30.34,45,2,0
BREST,30.32,39,4,0.51
LORIENT,30.28,36,1,0
ROCHEFORT,30.24,37,0,0
PLYMOUTH,30.34,41,3,0
WEYMOUTH,30.31,36,1,0
PORTSMOUTH,30.29,37,2,0
LONDON,30.29,35,2,0
DOVER,30.3,44,2,0
YARMOUTH,30.23,36,1,0
HELIGOLAND,30.14,43,2,0
