1863,1,17,Saturday,DWR_1863_01-14.jpg
NAIRN,30.02,40,2,0
ABERDEEN,30.05,37,1,0
LEITH,30.17,43,2,0
ARDROSSAN,30.18,42,1,0
PORTRUSH,30.21,43,999,0
GALWAY,30.27,42,1,0
VALENTIA,30.34,42,1,0
QUEENSTOWN,30.34,42,1,0
HOLYHEAD,30.26,39,1,0
LIVERPOOL,30.29,42,999,0
PEMBROKE,30.32,30,1,0
PENZANCE,30.3,34,1,0
BREST,30.24,41,2,0
JERSEY,30.19,43,2,0
LORIENT,30.09,39,2,0
ROCHEFORT,30.03,36,1,0
PLYMOUTH,30.26,35,1,0
WEYMOUTH,30.25,36,2,0
PORTSMOUTH,30.21,39,2,0
KEW,30.25,38,1,0
LONDON,30.25,39,2,0
YARMOUTH,30.25,41,2,0
SCARBOROUGH,30.24,41,1,0
SHIELDS,30.37,43,2,0
HELIGOLAND,30.24,37,0,0
COPENHAGEN,30.15,33,999,0
HELDER,30.23,34,999,0
BAYONNE,999,46,999,0
OPORTO,999,999,999,999
LISBON,30.2,41,999,0
