1863,1,5,Monday,DWR_1863_01-3.jpg
NAIRN,28.9,34,2,0
ABERDEEN,28.96,40,1,0.5
LEITH,28.95,41,2,0
ARDROSSAN,28.9,39,2,0.54
PORTRUSH,28.85,40,2,0
GALWAY,28.57,34,3,0.1
VALENTIA,28.92,36,1,0.5
QUEENSTOWN,28.99,40,1,1.21
HOLYHEAD,28.91,42,1,0.82
LIVERPOOL,28.99,42,1,0.06
PEMBROKE,28.98,44,1,0.77
PENZANCE,29.06,44,1,0.6
BREST,28.97,46,1,1.45
JERSEY,29.19,48,1,0.4
LORIENT,29.13,52,2,999
ROCHEFORT,29.44,45,2,0.08
PLYMOUTH,29.04,46,1,0.6
WEYMOUTH,29.07,48,2,0.74
PORTSMOUTH,29.12,48,2,0.29
KEW,29.16,46,1,0
LONDON,29.14,47,1,0.2
YARMOUTH,29.23,45,2,0
SCARBOROUGH,29.03,42,1,0.43
SHIELDS,29.03,42,1,0.7
HELIGOLAND,29.54,41,1,0
COPENHAGEN,999,999,999,999
HELDER,29.43,41,999,0
BAYONNE,999,52,999,0
OPORTO,999,999,999,999
LISBON,29.86,54,999,0
