1863,7,2,Thursday,DWR_1863_07-1.jpg
NAIRN,29.82,57,2,0
ABERDEEN,29.84,55,2,0
LEITH,29.81,60,3,0
SHIELDS,29.86,62,5,0
SCARBOROUGH,29.88,63,5,0
GREENCASTLE,29.79,60,2,0.27
GALWAY,29.91,63,999,0.35
VALENTIA,30,59,1,0.44
QUEENSTOWN,29.93,61,1,0.31
LIVERPOOL,29.88,61,4,0.07
HOLYHEAD,29.81,57,1,0.18
PEMBROKE,29.93,58,1,0.27
PENZANCE,30.07,58,1,0
BREST,30.16,61,4,0
LORIENT,30.16,63,3,0
ROCHEFORT,30.28,66,4,0
PLYMOUTH,30.06,62,3,0.17
WEYMOUTH,30.06,61,3,0
PORTSMOUTH,30.06,63,5,0
LONDON,30.05,62,5,0
DOVER,30.09,66,3,0
YARMOUTH,29.99,64,5,0
HELDER,30.09,66,999,0
HELIGOLAND,30.21,61,3,0
