1862,11,4,Tuesday,DWR_1862_11-3.jpg
NAIRN,29.74,53,3,0
ABERDEEN,29.84,50,1,0.09
LEITH,29.83,54,3,0
BERWICK,29.85,49,3,0
ARDROSSAN,29.84,50,2,0.25
PORTRUSH,29.87,48,5,0
GALWAY,29.96,43,1,0.13
VALENTIA,30.04,46,999,999
QUEENSTOWN,29.95,51,0,0.54
HOLYHEAD,29.93,51,2,0.15
LIVERPOOL,29.95,51,1,0.01
PEMBROKE,29.99,51,1,0.54
PENZANCE,30.05,52,1,0.25
PLYMOUTH,30,52,1,0.53
JERSEY,30.08,53,2,0
WEYMOUTH,30.01,56,2,0
PORTSMOUTH,30.02,54,2,0
DOVER,30.08,54,2,0
LONDON,30.06,49,1,0
YARMOUTH,30.09,51,1,0
SCARBOROUGH,30,49,2,0
SHIELDS,29.93,48,2,0
HELIGOLAND,30.12,50,0,0
HELDER,30.09,50,999,0
COPENHAGEN,30.08,46,999,0
BREST,30,55,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,56,999,0
LISBON,30.09,50,999,0
