1863,9,19,Saturday,DWR_1863_09-16.jpg
NAIRN,29.04,52,2,0.34
ABERDEEN,29.23,56,1,0.2
LEITH,29.3,58,2,0.25
SHIELDS,29.51,59,3,0
SCARBOROUGH,29.67,55,2,0
GREENCASTLE,29.33,47,2,0.75
GALWAY,29.47,55,0,0.6
VALENTIA,29.58,55,0,0.12
QUEENSTOWN,999,59,2,0.19
LIVERPOOL,29.61,61,4,0.01
HOLYHEAD,29.54,57,1,0
PEMBROKE,29.74,59,1,0
PENZANCE,29.88,60,2,0
BREST,29.96,61,0,0
LORIENT,29.96,61,1,0
ROCHEFORT,30.04,57,2,0
PLYMOUTH,29.89,61,2,0
WEYMOUTH,29.84,60,2,0
PORTSMOUTH,29.84,62,4,0
LONDON,29.84,59,3,0
DOVER,29.89,999,999,0
YARMOUTH,29.84,59,2,0
HELIGOLAND,30.01,56,2,0
