1862,4,1,Tuesday,DWR_1862_04-0.jpg
NAIRN,29.56,36,35,0
ABERDEEN,29.6,42,41,0
LEITH,29.6,48,46,0
BERWICK,29.66,43,41,0
ARDROSSAN,29.57,44,43,0.18
PORTRUSH,29.51,39,38,0.35
GALWAY,29.47,52,51,0
SHIELDS,29.7,47,45,0
SCARBOROUGH,29.74,46,45,0.15
HELIGOLAND,29.91,41,40,0.09
LIVERPOOL,29.76,47,45,0.18
QUEENSTOWN,29.59,54,53,0
VALENTIA,29.54,53,52,0.35
YARMOUTH,29.88,46,45,0
LONDON,29.89,47,45,0.14
DOVER,29.92,51,50,0
PORTSMOUTH,29.89,48,47,0
PORTLAND,29.9,50,48,0.06
PLYMOUTH,29.84,50,49,0
PENZANCE,29.83,53,51,0
JERSEY,30.02,49,48,0
COPENHAGEN,29.83,34,999,0
HELDER,29.87,44,999,0
BREST,29.96,51,999,0
BAYONNE,999,49,999,0
LISBON,30.3,59,999,0
