1869,4,14,Wednesday,DWR_1869_04-26.jpg
HEARTSCONTENT,999,999,999,
SKUDDESNAES,999,999, NaN,
NAIRN,29.9,54,0,
ABERDEEN,29.95,58,0,
LEITH,29.98,52,0,
ARDROSSAN,30,55,0,
GREENCASTLE,29.94,52,0.04,
SHIELDS,30.03,55,0,
SCARBOROUGH,30.06,61,0,
LIVERPOOL,30.01,58,0,
HOLYHEAD,29.97,54,0,
HELDER,999,999, NaN,
YARMOUTH,30.11,51,0,
VALENTIA,29.99,52,0.05,
ROCHESPOINT,29.93,50,0,
PEMBROKE,29.95,52,0,
LONDON,30.04,57,0,
CAPECLEAR,29.97,53,0.05,
CAPGRISNEZ,30.04,63,0,
BRUSSELS,999,999, NaN,
PORTSMOUTH,29.98,60,0,
PLYMOUTH,29.99,55,0,
PENZANCE,29.95,53,0,
PARIS,999,999,0,
STRASBOURG,999,999, NaN,
BREST,29.99,54,0,
LORIENT,30,?52,0,
ROCHEFORT,30.05,57,0,
LYONS,999,999, NaN,
BIARRITZ,30.04,63,0.04,
CORUNNA,999,999, NaN,
TOULON,30.22,59,0,
