1868,9,5,Saturday,DWR_1868_09-8.jpg
HEARTSCONTENT,30.43,52,0,
SKUDDESNAES,999,999, NaN,
NAIRN,30.01,61,0,
ABERDEEN,30.05,62,0.12,
LEITH,30.1,67,0,
ARDROSSAN,30.12,61,0.01,
GREENCASTLE,30.09,61,0,
SHIELDS,30.18,63,0,
SCARBOROUGH,30.2,62,0,
CUXHAVEN, NaN, NaN, NaN,
LIVERPOOL,30.21,60,0,
HOLYHEAD,30.14,60,0,
HELDER,999,999, NaN,
YARMOUTH,30.23,65,0,
VALENTIA,30.08,61,0,
ROCHESPOINT,30.1,60,0,
LONDON,30.24,63,0,
CAPECLEAR,30.06,63,0,
CAPGRISNEZ,30.2,64,0,
BRUSSELS,999,999, NaN,
PORTSMOUTH,30.24,61,0,
WEYMOUTH,30.25,64,0,
PLYMOUTH,30.22,58,0,
PENZANCE,30.19,62,0,
PARIS,999,999,0,
STRASBOURG,999,999, NaN,
BREST,30.15,70,0,
LORIENT,30.17,64,0,
ROCHEFORT,30.18,70,0,
LYONS,999,999, NaN,
BIARRITZ,30.09,73,0,
TOULON,30.19,72,0,
