1863,12,28,Monday,DWR_1863_12-23.jpg
NAIRN,30.21,27,0,0.27
ABERDEEN,30.23,28,0,0
LEITH,30.26,35,4,0
ARDROSSAN,999,999,999,999
GREENCASTLE,30.1,38,1,0.31
GALWAY,30.08,46,0,0.38
VALENTIA,30.12,49,0,0.4
CAPE CLEAR,30.12,49,1,0.52
QUEENSTOWN,30.02,47,1,0.23
LIVERPOOL,30.13,36,3,0.1
HOLYHEAD,30.19,49,0,0
PEMBROKE,30.24,42,1,0.21
PENZANCE,30.22,49,0,0.25
BREST,30.2,52,0,0.83
LORIENT,30.2,48,0,0.16
ROCHEFORT,30.28,48,0,0
PLYMOUTH,30.25,44,2,0
WEYMOUTH,30.32,40,2,0.06
PORTSMOUTH,30.34,39,3,0
LONDON,30.34,34,2,0.04
DOVER,30.37,37,5,0
YARMOUTH,30.32,35,1,0
SCARBOROUGH,30.28,33,2,0
SHIELDS,30.3,33,3,0
HELIGOLAND,30.04,34,0,0
