1862,7,17,Thursday,DWR_1862_07-18.jpg
NAIRN,29.66,56,51,0
ABERDEEN,29.67,55,51,0.21
LEITH,29.7,58,53,0
BERWICK,29.73,57,52,0.2
ARDROSSAN,29.7,56,54,0
PORTRUSH,29.73,56,53,0
GALWAY,29.75,54,?53,0
VALENTIA,999,999,999,999
QUEENSTOWN,?29.80,56,55,0.31
MILFORD,29.83,59,57,0
HOLYHEAD,29.78,58,55,0
LIVERPOOL,29.81,60,55,0
PENZANCE,29.89,57,56,0
PLYMOUTH,29.9,59,56,0.08
JERSEY,30,62,57,0
PORTLAND,29.91,59,55,0
PORTSMOUTH,29.91,58,55,1.07
DOVER,29.93,999,999,0.35
LONDON,29.9,55,52,0.59
YARMOUTH,29.85,57,53,0
SCARBOROUGH,29.78,57,54,0.55
SHIELDS,29.76,55,52,?0.10
HELIGOLAND,29.79,57,56,0.25
HELDER,29.87,69,999,0
COPENHAGEN,29.73,59,999,0
BREST,29.95,58,999,0
BAYONNE,999,62,999,0
LISBON,30.07,69,999,0
