1863,1,20,Tuesday,DWR_1863_01-16.jpg
NAIRN,28.39,29,999,0.19
ABERDEEN,28.45,31,999,0.14
LEITH,28.57,35,1,0
ARDROSSAN,28.66,41,4,0.54
PORTRUSH,999,999,999,999
GALWAY,29.27,36,1,0.08
VALENTIA,999,999,999,999
QUEENSTOWN,29.43,40,1,0
HOLYHEAD,29.11,40,2,0.17
LIVERPOOL,29.03,40,4,0.2
PEMBROKE,29.31,48,5,0
PENZANCE,29.51,48,1,0.2
BREST,29.71,50,1,0.08
JERSEY,29.5,50,2,0.1
LORIENT,29.64,50,2,0.08
ROCHEFORT,29.86,32,1,0.04
PLYMOUTH,29.39,46,2,0.16
WEYMOUTH,29.32,46,3,0.16
PORTSMOUTH,29.24,46,2,0
KEW,29.13,46,5,0
LONDON,29.09,48,3,0.04
YARMOUTH,28.9,43,2,0.35
SCARBOROUGH,28.83,37,3,0
SHIELDS,28.76,36,2,0
HELIGOLAND,999,999,999,999
COPENHAGEN,999,999,999,999
HELDER,28.75,44,999,0
BAYONNE,999,51,999,0
OPORTO,999,999,999,999
LISBON,30.28,45,999,0
