1862,11,28,Friday,DWR_1862_11-24.jpg
NAIRN,29.59,34,1,0
ABERDEEN,29.69,35,0,0.12
LEITH,29.67,39,2,0
BERWICK,29.7,32,2,0
ARDROSSAN,29.59,38,1,0.19
PORTRUSH,999,33,2,0
GALWAY,29.45,40,1,0.23
VALENTIA,29.46,41,0,0.37
QUEENSTOWN,29.42,46,2,0.2
HOLYHEAD,29.59,41,1,0
LIVERPOOL,29.71,38,2,0
PEMBROKE,29.56,40,1,0.1
PENZANCE,29.58,51,1,0
PLYMOUTH,29.63,51,3,0.15
JERSEY,29.77,47,1,0.1
WEYMOUTH,29.71,50,2,0.16
PORTSMOUTH,29.74,47,1,0.16
DOVER,29.86,46,1,0
LONDON,29.78,41,1,0.01
YARMOUTH,29.85,43,1,0
SCARBOROUGH,29.75,36,1,0
SHIELDS,29.72,33,1,0
HELIGOLAND,29.9,42,0,0
HELDER,29.93,37,999,0
COPENHAGEN,29.98,38,999,0
BREST,29.64,49,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,49,999,0
LISBON,999,999,999,999
