1862,2,28,Friday,DWR_1862_02-27.jpg
NAIRN,30.37,36,35,0.13
ABERDEEN,30.32,38,37,0
LEITH,30.32,40,38,0
BERWICK,30.32,42,40,0.09
ARDROSSAN,30.3,39,37,0
PORTRUSH,30.29,38,37,0
GALWAY,30.18,39,37,0
SHIELDS,30.27,40,38,0
SCARBOROUGH,30.24,39,38,0
HELIGOLAND,30.14,34,33,0
LIVERPOOL,30.22,38,36,0
QUEENSTOWN,30.09,41,40,0
VALENTIA,30.1,38,36,0
YARMOUTH,30.16,35,34,0
LONDON,30.11,37,35,0
DOVER,30.06,38,36,0
PORTSMOUTH,30.05,35,33,0
PORTLAND,29.99,36,34,0
PLYMOUTH,29.91,36,34,0
PENZANCE,29.95,38,36,0
COPENHAGEN,29.91,32,999,0
HELDER,30.18,28,999,0
BREST,29.77,41,999,0
BAYONNE,29.74,50,999,0
LISBON,999,999,999,999
