1862,8,26,Tuesday,DWR_1862_08-21.jpg
NAIRN,30.08,54,52,0
ABERDEEN,30.1,55,54,0
LEITH,30.05,58,54,0
BERWICK,30.1,57,53,0
ARDROSSAN,29.98,57,55,0
PORTRUSH,999,58,54,0
GALWAY,29.8,60,56,0
VALENTIA,29.78,65,63,0.12
QUEENSTOWN,29.84,63,62,0
HOLYHEAD,29.92,56,53,0
LIVERPOOL,30.01,57,54,0
PEMBROKE,29.91,61,59,0
PENZANCE,29.88,61,60,0
PLYMOUTH,29.92,61,59,0
JERSEY,29.91,64,60,0
WEYMOUTH,29.94,62,57,0
PORTSMOUTH,29.89,61,56,0
DOVER,29.95,63,58,0
LONDON,29.98,60,57,0
YARMOUTH,29.99,61,57,0
SCARBOROUGH,30.09,57,55,0
SHIELDS,30.04,57,54,0
HELIGOLAND,30.17,55,53,0
HELDER,30.08,58,999,0
COPENHAGEN,30.11,55,999,0
BREST,29.85,64,999,0
BAYONNE,999,68,999,0
LISBON,30.03,69,999,0
