1863,6,25,Thursday,DWR_1863_06-22.jpg
NAIRN,29.93,56,5,0
ABERDEEN,29.95,60,6,0.08
LEITH,30.02,61,6,0.09
ARDROSSAN,30.06,57,2,0.15
GREENCASTLE,30.07,56,3,0.1
GALWAY,30.26,61,3,0
VALENTIA,30.22,61,4,0
QUEENSTOWN,30.2,58,2,0
SHIELDS,30.09,60,5,0
SCARBOROUGH,30.05,62,4,0
LIVERPOOL,30.14,60,5,0
HOLYHEAD,30.13,60,3,0
PEMBROKE,30.19,57,4,0
PENZANCE,30.24,60,1,0
BREST,30.24,57,3,0.51
LORIENT,30.16,59,3,0
ROCHEFORT,999,999,999,999
BAYONNE,30.04,68,999,0
PLYMOUTH,30.21,62,7,0
WEYMOUTH,30.16,61,5,0.08
PORTSMOUTH,30.1,60,4,0.17
LONDON,30.1,61,4,0.27
DOVER,30.06,999,999,0.28
YARMOUTH,30.08,60,1,0.55
HELDER,30.08,66,999,0
HELIGOLAND,30.1,63,1,0
COPENHAGEN,30.13,67,999,0
LISBON,999,999,999,999
