1863,5,19,Tuesday,DWR_1863_05-15.jpg
NAIRN,30.33,46,3,0
ABERDEEN,30.31,47,5,0
LEITH,30.28,47,4,0
ARDROSSAN,30.28,46,999,0
PORTRUSH,30.25,48,2,0
GALWAY,30.14,50,4,0
VALENTIA,30.05,50,2,0
QUEENSTOWN,30.02,53,1,0
HOLYHEAD,30.08,47,4,0
LIVERPOOL,30.13,48,6,0
PEMBROKE,29.97,50,6,0
PENZANCE,29.86,48,2,0
BREST,29.65,48,1,0.08
LORIENT,29.49,50,0,0.35
ROCHEFORT,29.57,52,2,1.65
PLYMOUTH,29.83,47,3,0.17
WEYMOUTH,29.8,45,2,0.37
PORTSMOUTH,29.79,46,1,0.47
KEW,29.94,44,2,0
LONDON,29.93,45,2,0.25
DOVER,29.87,47,1,0
YARMOUTH,30.02,48,4,0
SCARBOROUGH,30.17,50,5,0
SHIELDS,30.25,48,5,0
HELIGOLAND,30.03,47,2,0.07
COPENHAGEN,29.94,48,999,0
HELDER,30.02,49,999,0
LISBON,29.97,59,999,0
