1863,8,28,Friday,DWR_1863_08-24.jpg
NAIRN,29.72,49,2,0.15
ABERDEEN,29.71,999,999,0.25
LEITH,29.67,53,4,0.13
SHIELDS,29.64,57,3,999
SCARBOROUGH,29.59,59,1,0.5
GREENCASTLE,29.66,52,2,0.28
GALWAY,29.67,58,4,999
VALENTIA,29.66,47,3,0.37
QUEENSTOWN,999,56,2,0.13
LIVERPOOL,29.58,57,999,0.06
HOLYHEAD,29.49,57,1,0.1
PEMBROKE,29.5,60,1,1
PENZANCE,29.59,60,999,0
BREST,29.61,61,2,0
LORIENT,29.61,59,0,0.08
ROCHEFORT,29.65,59,0,1.02
PLYMOUTH,29.58,64,5,0.12
WEYMOUTH,29.64,62,4,0.09
PORTSMOUTH,29.48,62,4,0.13
LONDON,29.68,59,4,0.07
DOVER,29.73,999,999,0
YARMOUTH,29.67,61,3,0.3
HELIGOLAND,29.73,62,2,0.04
