1862,6,16,Monday,DWR_1862_06-15.jpg
NAIRN,30.03,50,47,0.4
ABERDEEN,29.99,51,49,0
LEITH,29.99,56,50,0
ARDROSSAN,30,55,52,0.19
PORTRUSH,30.06,51,50,0
GALWAY,30.13,56,52,0
VALENTIA,30.15,53,50,0
QUEENSTOWN,30.09,53,51,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,30.01,55,51,0
PENZANCE,30.07,59,58,0
PLYMOUTH,29.99,59,54,0
JERSEY,29.98,60,56,0
PORTLAND,29.99,58,53,0
PORTSMOUTH,29.96,58,53,0
DOVER,29.94,63,62,0
LONDON,29.95,56,53,0.63
YARMOUTH,29.92,57,55,0
SCARBOROUGH,29.95,54,53,0.45
SHIELDS,29.98,53,50,0
BERWICK,30,56,52,0
HELIGOLAND,29.88,67,62,0.1
HELDER,29.89,59,999,0
COPENHAGEN,999,999,999,999
BREST,30.02,55,999,0
BAYONNE,999,64,999,0
LISBON,30.12,65,999,0
