1863,8,24,Monday,DWR_1863_08-20.jpg
NAIRN,29.62,56,3,0.15
ABERDEEN,29.63,57,2,0
LEITH,29.65,60,6,0
SHIELDS,29.78,60,6,0
SCARBOROUGH,29.85,61,2,0
GREENCASTLE,29.66,56,2,0.05
GALWAY,29.68,60,2,999
VALENTIA,29.73,57,2,0.3
QUEENSTOWN,29.85,62,2,0
LIVERPOOL,29.82,60,6,0.06
HOLYHEAD,29.77,59,2,0.2
PEMBROKE,29.85,62,1,0.5
PENZANCE,29.93,60,1,0.3
BREST,29.96,59,1,0
LORIENT,29.96,64,4,0
ROCHEFORT,30.08,59,2,0
PLYMOUTH,29.93,60,2,0
WEYMOUTH,29.91,60,5,0
PORTSMOUTH,29.9,63,4,0
LONDON,29.9,60,3,0
DOVER,29.93,66,2,0
YARMOUTH,29.87,63,3,0
HELIGOLAND,29.87,62,0,0.03
