1863,12,21,Monday,DWR_1863_12-17.jpg
NAIRN,29.88,39,2,0.12
ABERDEEN,29.91,38,999,0.15
LEITH,29.99,42,2,0
ARDROSSAN,999,999,999,999
GREENCASTLE,30.12,41,1,0.18
GALWAY,30.23,43,2,0.28
VALENTIA,30.28,51,0,0.14
CAPE CLEAR,30.27,46,1,0
QUEENSTOWN,30.15,49,1,0.06
LIVERPOOL,30.18,44,3,0.02
HOLYHEAD,30.17,44,1,0
PEMBROKE,30.26,47,1,0.1
PENZANCE,30.35,49,1,0
BREST,30.39,46,1,0
LORIENT,30.36,41,0,0
ROCHEFORT,30.43,37,0,0
PLYMOUTH,30.31,48,1,0
WEYMOUTH,30.26,49,1,0
PORTSMOUTH,30.24,46,1,0
LONDON,30.22,42,1,0.08
DOVER,30.21,47,1,0
YARMOUTH,30.12,39,1,0
SCARBOROUGH,30.1,38,2,0
SHIELDS,30.1,40,3,0
HELIGOLAND,29.94,44,0,0
