1862,10,27,Monday,DWR_1862_10-22.jpg
NAIRN,29.11,43,2,0.45
ABERDEEN,29.17,45,2,0.25
LEITH,29.41,45,3,0
BERWICK,29.35,51,2,0
ARDROSSAN,29.32,49,2,0.8
PORTRUSH,999,45,3,0
GALWAY,29.67,53,1,0.31
VALENTIA,29.85,53,1,0.62
QUEENSTOWN,29.85,54,3,0.54
HOLYHEAD,29.68,53,2,0.52
LIVERPOOL,29.72,53,4,0.19
PEMBROKE,29.91,54,3,0.48
PENZANCE,30.09,53,2,0
PLYMOUTH,30.05,54,1,0
JERSEY,30.18,54,3,0.32
WEYMOUTH,30.05,54,4,0.3
PORTSMOUTH,30.03,53,4,0.35
DOVER,30.01,51,2,0.25
LONDON,29.99,48,3,0.16
YARMOUTH,29.92,45,4,0
SCARBOROUGH,29.6,48,6,0.23
SHIELDS,29.44,50,3,0
HELIGOLAND,29.75,49,1,0.37
HELDER,29.88,51,999,0
COPENHAGEN,29.64,48,999,0
BREST,30.19,51,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,56,999,0
LISBON,30.14,64,999,0
