1862,8,18,Monday,DWR_1862_08-14.jpg
NAIRN,29.92,56,54,0
ABERDEEN,29.91,57,55,0
LEITH,29.92,58,55,0
BERWICK,29.95,59,56,0
ARDROSSAN,29.91,57,55,0
PORTRUSH,29.99,55,52,0
GALWAY,30.12,58,55,0
VALENTIA,30.09,61,59,0
QUEENSTOWN,30.06,57,55,0
HOLYHEAD,29.99,58,54,0
LIVERPOOL,30,59,56,0
PEMBROKE,30.01,58,56,0
PENZANCE,30.08,60,59,0
PLYMOUTH,30.01,61,57,0.45
JERSEY,29.99,59,58,0.17
WEYMOUTH,29.97,60,57,0.19
PORTSMOUTH,29.94,59,56,0.62
DOVER,29.82,59,56,0.53
LONDON,29.93,57,55,1.26
YARMOUTH,29.87,57,55,2
SCARBOROUGH,29.98,56,55,0
SHIELDS,29.97,56,54,0
HELIGOLAND,29.74,61,60,0
HELDER,29.73,63,999,0
COPENHAGEN,29.81,59,999,0
BREST,30.02,58,999,0
BAYONNE,999,65,999,0
LISBON,999,999,999,0
