1862,6,25,Wednesday,DWR_1862_06-28.jpg
NAIRN,30.13,57,51,0
ABERDEEN,30.12,54,50,0
LEITH,30.13,55,52,0
BERWICK,30.18,58,54,0
ARDROSSAN,30.14,55,53,0
PORTRUSH,30.33,53,51,0
GALWAY,30.28,61,57,0
VALENTIA,30.28,59,54,0
QUEENSTOWN,30.25,55,53,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,30.18,57,54,0.01
PENZANCE,30.24,60,57,0
PLYMOUTH,30.16,60,55,0
JERSEY,30.16,60,56,0
PORTLAND,30.16,60,55,0
PORTSMOUTH,30.11,59,55,0
DOVER,30.06,60,56,0
LONDON,30.1,58,54,0
YARMOUTH,30.05,58,55,0
SCARBOROUGH,30.13,57,55,0.18
SHIELDS,30.17,55,52,0
HELIGOLAND,29.96,54,51,0
HELDER,30,56,999,0
COPENHAGEN,29.89,55,999,0
BREST,30.17,57,999,0
BAYONNE,999,64,999,0
LISBON,29.93,73,999,0
