1862,4,23,Wednesday,DWR_1862_04-19.jpg
NAIRN,29.66,50,?46,0.18
ABERDEEN,29.7,51,47,0
LEITH,29.78,51,47,0
BERWICK,29.8,51,47,0
ARDROSSAN,29.8,49,47,0
PORTRUSH,29.8,49,47,0
GALWAY,29.81,54,51,0
SHIELDS,29.88,51,46,0
SCARBOROUGH,29.92,49,46,0
HELIGOLAND,29.95,51,49,0
LIVERPOOL,29.96,51,48,0
QUEENSTOWN,29.81,51,50,0
VALENTIA,29.8,51,49,0.35
YARMOUTH,30.02,51,48,0
LONDON,30.06,52,48,0.03
DOVER,30.08,55,54,0
PORTSMOUTH,30.03,52,50,0
PORTLAND,30.01,51,49,0.08
PLYMOUTH,29.9,51,49,0
PENZANCE,29.91,51,50,0
JERSEY,30.06,53,51,0
HELDER,30.05,50,999,0
COPENHAGEN,29.74,45,999,0
BREST,29.93,51,999,0
BAYONNE,999,64,999,0
LISBON,29.95,61,999,0
