1863,7,31,Friday,DWR_1863_07-26.jpg
NAIRN,30.28,54,3,0
ABERDEEN,30.3,56,3,0
LEITH,30.31,58,4,0
SHIELDS,30.36,56,4,0
SCARBOROUGH,30.35,57,3,0
GREENCASTLE,30.25,58,3,0
GALWAY,30.17,63,1,0
VALENTIA,30.1,65,6,0
QUEENSTOWN,30.14,66,2,0
LIVERPOOL,30.31,58,5,0
HOLYHEAD,30.23,65,8,0
PEMBROKE,30.22,61,5,0
PENZANCE,30.17,62,5,0
BREST,30.12,64,4,0
LORIENT,30.04,63,4,0
ROCHEFORT,999,999,999,999
PLYMOUTH,30.2,63,8,0
WEYMOUTH,30.26,64,6,0
PORTSMOUTH,30.25,60,6,0
LONDON,30.33,59,5,0
DOVER,30.31,61,5,0
YARMOUTH,30.32,59,7,0
HELIGOLAND,30.18,57,2,0.07
