1862,3,28,Friday,DWR_1862_03-22.jpg
NAIRN,29.41,39,38,0.25
ABERDEEN,29.43,40,39,0.35
LEITH,29.36,43,41,0
BERWICK,29.37,46,43,0.18
ARDROSSAN,29.29,42,41,0.22
PORTRUSH,29.25,44,42,0
GALWAY,29.15,50,49,0
SHIELDS,29.34,42,41,0.07
SCARBOROUGH,29.3,42,41,0.55
HELIGOLAND,29.3,41,40,0
LIVERPOOL,29.08,47,46,0.06
QUEENSTOWN,29.14,53,52,0
VALENTIA,29.07,50,48,0.15
YARMOUTH,29.23,45,44,0
LONDON,29.24,48,46,0.09
DOVER,29.21,49,48,0
PORTSMOUTH,?29.24,48,47,0.27
PORTLAND,29.26,47,46,0.45
PLYMOUTH,29.2,47,46,0
PENZANCE,29.22,50,49,0
JERSEY,29.25,48,47,0.2
COPENHAGEN,29.37,34,999,0
HELDER,29.26,49,999,0
BREST,29.2,51,999,0
BAYONNE,999,58,999,0
LISBON,999,999,999,999
