1861,9,12,Thursday,DWR_1861_09-9.jpg
NAIRN,?29.79,55,52,
ABERDEEN,29.98,56,54,
LEITH,29.96,59,56,
BERWICK,29.99,56,53,
ARDROSSAN,29.95,57,55,
PORTRUSH,29.98,54,52,
SHIELDS,30.04,54,50,
GALWAY,30.03,60,52,
SCARBOROUGH,30.07,55,54,
LIVERPOOL,30.05,56,53,
VALENTIA,30.08,60,57,
QUEENSTOWN,30.11,54,53,
YARMOUTH,30.16,54,53,
LONDON,30.11,59,56,
DOVER,30.11,67,61,
PORTSMOUTH,30.08,63,61,
PORTLAND,30.07,63,61,
PLYMOUTH,30.06,60,56,
PENZANCE,30.14,58,57,
COPENHAGEN,30.13,?55,999,
HELDER,30.1,60,999,
BREST,30.11,55,999,
BAYONNE,30.11,62,999,
LISBON,30.17,68,999,
