1863,2,24,Tuesday,DWR_1863_02-19.jpg
NAIRN,30.26,40,2,0
ABERDEEN,30.26,47,2,0
LEITH,30.31,45,1,0
ARDROSSAN,30.33,45,1,0
PORTRUSH,30.32,41,2,0
GALWAY,30.32,47,1,0
VALENTIA,30.33,46,1,0
QUEENSTOWN,30.36,48,1,0
HOLYHEAD,30.33,46,1,0
LIVERPOOL,30.37,45,1,0.02
PEMBROKE,30.38,46,1,0
PENZANCE,30.38,48,1,0
BREST,30.32,45,1,0
LORIENT,30.28,43,1,0
ROCHEFORT,30.28,36,2,0
PLYMOUTH,30.36,46,2,0
WEYMOUTH,30.35,47,2,0
PORTSMOUTH,30.3,47,2,0
KEW,30.35,45,1,0
LONDON,30.34,46,1,0
YARMOUTH,30.34,42,0,0
SCARBOROUGH,30.34,45,1,0.14
SHIELDS,30.37,49,2,0
HELIGOLAND,30.35,38,0,0
COPENHAGEN,30.2,32,999,0
HELDER,30.32,42,999,0
BAYONNE,999,40,999,0
LISBON,30.25,45,999,0
