1862,10,25,Saturday,DWR_1862_10-21.jpg
NAIRN,29.33,45,3,0
ABERDEEN,29.46,43,2,0
LEITH,29.47,47,3,0
BERWICK,29.6,46,2,0
ARDROSSAN,29.39,49,2,0.3
PORTRUSH,999,47,3,0
GALWAY,29.65,53,1,0.2
VALENTIA,29.78,55,1,0.28
QUEENSTOWN,29.76,54,1,0
HOLYHEAD,29.72,50,1,0.15
LIVERPOOL,29.81,47,3,0.12
PEMBROKE,29.91,52,3,0
PENZANCE,30.02,50,1,0
PLYMOUTH,30,50,3,0
JERSEY,30.08,48,3,0
WEYMOUTH,30,51,4,0.07
PORTSMOUTH,29.98,47,2,0
DOVER,29.98,44,3,0
LONDON,29.97,40,2,0.03
YARMOUTH,29.95,37,1,0
SCARBOROUGH,29.77,43,2,0
SHIELDS,29.68,52,6,0
HELIGOLAND,29.75,46,1,0.26
HELDER,29.89,49,999,0
COPENHAGEN,999,999,999,999
BREST,30.1,45,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,55,999,0
LISBON,30.11,56,999,0
