1863,12,23,Wednesday,DWR_1863_12-20.jpg
NAIRN,29.53,49,3,0
ABERDEEN,29.46,49,4,0
LEITH,29.6,51,2,0
ARDROSSAN,999,999,999,999
GREENCASTLE,29.92,50,2,0.07
GALWAY,30.2,47,2,0.11
VALENTIA,30.32,50,3,0.07
CAPE CLEAR,30.31,45,1,0
QUEENSTOWN,30.22,49,2,0
LIVERPOOL,29.97,48,2,0.01
HOLYHEAD,30.03,49,1,0.07
PEMBROKE,30.21,39,3,0
PENZANCE,30.34,48,1,0
BREST,30.36,43,2,0
LORIENT,30.32,37,1,0
ROCHEFORT,30.39,34,2,0
PLYMOUTH,30.28,44,2,0
WEYMOUTH,30.22,45,2,0
PORTSMOUTH,30.19,42,2,0.11
LONDON,30.13,36,1,0
DOVER,30.14,37,2,0.45
YARMOUTH,29.96,36,1,0
SCARBOROUGH,29.74,42,2,0
SHIELDS,29.72,48,2,0
HELIGOLAND,29.81,37,0,0
