1863,9,9,Wednesday,DWR_1863_09-7.jpg
NAIRN,29.55,50,3,0.11
ABERDEEN,29.59,52,5,0
LEITH,29.65,54,5,0
SHIELDS,29.73,56,3,0
SCARBOROUGH,29.71,53,2,0
GREENCASTLE,29.72,52,2,0.24
GALWAY,29.82,56,3,0.5
VALENTIA,29.84,56,5,0.35
QUEENSTOWN,999,55,1,0.2
LIVERPOOL,29.76,54,1,0.22
HOLYHEAD,29.75,55,2,0.1
PEMBROKE,29.77,55,1,0.54
PENZANCE,29.74,59,1,0.9
BREST,29.8,61,1,0.12
LORIENT,29.76,61,0,999
ROCHEFORT,30.08,59,1,0
PLYMOUTH,29.7,60,2,0.8
WEYMOUTH,29.75,57,1,0.5
PORTSMOUTH,29.87,57,1,0.5
LONDON,29.86,56,2,0.04
DOVER,29.84,60,2,0.5
YARMOUTH,29.79,55,2,0
HELIGOLAND,29.87,55,0,999
