1872,1,8,Monday,DWR_1872_01-12.jpg,,,,,
CHRISTIANSUND,29.34,38,33,999,999,999,999,999,999
SKUDDESNAES,29.34,39,37,999,999,999,999,999,999
THURSO,29.08,32,31,999,999,0.32,999,999,999
WICK,29.09,32,31,999,999,0.28,999,999,999
OXO,29.45,35,35,999,999,999,999,999,999
NAIRN,29.14,33,33,999,999,0,999,999,999
ABERDEEN,29.13,35,34,999,999,0.27,999,999,999
LEITH,29.18,32,31,999,999,0,999,999,999
ARDROSSAN,29.21,35,34,999,999,0.1,999,999,999
GREENCASTLE,29.25,36,35,999,999,0.03,999,999,999
SHIELDS,29.15,32,32,999,999,0.03,999,999,999
SCARBOROUGH,29.15,33,33,999,999,0.2,999,999,999
LIVERPOOL,29.28,38,36,999,999,0.1,999,999,999
HOLYHEAD,29.27,39,37,999,999,0,999,999,999
HELDER,29.23,38,999,999,999,0,999,999,999
YARMOUTH,29.31,40,40,999,999,0.28,999,999,999
VALENTIA,29.46,45,42,999,999,0.12,999,999,999
ROCHESPOINT,29.44,39,37,999,999,0.18,999,999,999
PEMBROKE,29.32,40,38,999,999,0.06,999,999,999
LONDON,29.26,34,33,999,999,0.08,999,999,999
DOVER,29.25,36,35,999,999,0.5,999,999,999
CAPGRISNEZ,29.25,39,37,999,999,0.55,999,999,999
PORTSMOUTH,29.32,37,36,999,999,0.16,999,999,999
PLYMOUTH,29.37,42,40,999,999,0.31,999,999,999
PENZANCE,999,999,999,999,999,999,999,999,999
SCILLY,29.48,47,42,999,999,0.2,999,999,999
BREST,999,46,999,999,999,0.24,999,999,999
LORIENT,29.58,44,40,999,999,0.32,999,999,999
ROCHEFORT,29.63,45,41,999,999,0.55,999,999,999
BIARRITZ,999,999,999,999,999,999,999,999,999
