1862,6,17,Tuesday,DWR_1862_06-17.jpg
NAIRN,29.89,55,51,0
ABERDEEN,30.02,53,50,0
LEITH,29.95,58,53,0
ARDROSSAN,29.93,54,52,0
PORTRUSH,29.95,50,49,0
GALWAY,30,55,54,0
VALENTIA,30.08,55,54,0.23
QUEENSTOWN,30.1,55,52,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,30.1,59,54,0
PENZANCE,30.22,56,55,0
PLYMOUTH,30.14,57,53,0
JERSEY,30.22,60,55,0
PORTLAND,30.13,61,57,0
PORTSMOUTH,30.12,60,56,0
DOVER,30.08,61,?51,0
LONDON,30.12,56,53,0.1
YARMOUTH,30.05,55,52,0
SCARBOROUGH,30.06,56,53,0
SHIELDS,30.04,53,49,0
BERWICK,30.02,56,52,0
HELIGOLAND,29.95,57,55,0
HELDER,29.97,57,999,0
COPENHAGEN,999,999,999,999
BREST,30.23,52,999,0
BAYONNE,999,66,999,0
LISBON,30.06,75,999,0
