1863,10,23,Friday,DWR_1863_10-19.jpg
NAIRN,30.16,47,999,0
ABERDEEN,30.16,49,999,0
LEITH,30.19,50,3,0
SHIELDS,30.32,49,3,0
SCARBOROUGH,30.23,45,2,0
GREENCASTLE,30.3,43,1,0
GALWAY,30.27,50,0,0
VALENTIA,30.23,55,2,0
QUEENSTOWN,30.14,56,1,0
LIVERPOOL,30.29,50,1,0
HOLYHEAD,30.26,46,1,0
PEMBROKE,30.29,54,0,0
PENZANCE,30.32,54,1,0
BREST,30.28,54,2,0
LORIENT,30.2,54,2,0
ROCHEFORT,30.24,50,2,0
PLYMOUTH,30.3,57,3,0
WEYMOUTH,30.29,55,2,0
PORTSMOUTH,30.26,54,4,0
LONDON,30.28,48,3,0
DOVER,30.27,51,2,0
YARMOUTH,30.23,46,1,0
HELIGOLAND,30.07,52,2,0
