1863,4,8,Wednesday,DWR_1863_04-6.jpg
NAIRN,29.37,41,4,0
ABERDEEN,29.42,42,5,0
LEITH,29.45,45,4,0
ARDROSSAN,29.42,43,2,0
PORTRUSH,29.39,42,2,0
GALWAY,29.31,47,0,0.25
VALENTIA,29.46,45,1,0.34
QUEENSTOWN,29.43,54,1,0.41
HOLYHEAD,29.52,46,2,0.15
LIVERPOOL,29.58,44,3,0.03
PEMBROKE,29.6,48,2,0.13
PENZANCE,29.66,49,0,0.3
LORIENT,29.76,54,0,0.08
ROCHEFORT,29.96,52,1,0.12
BREST,29.76,50,1,0.08
PLYMOUTH,29.69,50,1,0
WEYMOUTH,29.7,49,1,0.09
PORTSMOUTH,29.71,47,3,0.08
KEW,29.73,46,3,0
LONDON,29.72,44,3,0.03
DOVER,29.74,51,5,0
YARMOUTH,29.68,43,2,0
SCARBOROUGH,29.58,42,3,0
SHIELDS,29.57,42,3,0
HELIGOLAND,29.69,43,0,0.1
COPENHAGEN,29.71,45,999,0
HELDER,29.68,44,999,0
LISBON,30.24,58,999,0
