1862,12,23,Tuesday,DWR_1862_12-21.jpg
NAIRN,30.02,47,2,0
ABERDEEN,29.96,39,1,0
LEITH,30.02,45,2,0
BERWICK,30.01,41,2,0
ARDROSSAN,999,999,999,999
PORTRUSH,999,999,999,999
GALWAY,30.29,47,3,0
VALENTIA,999,999,999,999
QUEENSTOWN,30.27,51,2,0
HOLYHEAD,30.11,49,1,0.3
LIVERPOOL,30.08,46,1,0.33
PEMBROKE,30.14,49,1,0.21
PENZANCE,30.19,51,1,0.45
PLYMOUTH,30.11,49,1,0
JERSEY,30.11,48,1,0.17
WEYMOUTH,30.1,41,0,0.12
PORTSMOUTH,30.06,42,1,0.2
DOVER,30.05,41,1,999
LONDON,30.04,40,1,0.06
YARMOUTH,30.01,38,1,0
SCARBOROUGH,30.01,44,1,0
SHIELDS,30.01,42,3,0
HELIGOLAND,30.01,33,1,0
HELDER,30.01,40,999,0
COPENHAGEN,999,999,999,999
BREST,30.14,50,1,2.09
LORIENT,30.08,46,1,999
ROCHEFORT,30.23,39,2,0
BAYONNE,999,37,999,0
LISBON,999,999,999,999
