1863,1,23,Friday,DWR_1863_01-20.jpg
NAIRN,28.65,47,2,0.1
ABERDEEN,28.76,47,2,0.16
LEITH,28.9,49,3,0
ARDROSSAN,29.03,45,2,0.15
PORTRUSH,999,999,999,999
GALWAY,29.24,40,0,0.5
VALENTIA,999,999,999,999
QUEENSTOWN,29.41,46,1,0.47
HOLYHEAD,29.27,47,3,0.17
LIVERPOOL,29.28,50,4,0
PEMBROKE,29.4,47,1,0.2
PENZANCE,29.6,50,1,0.25
BREST,29.79,52,1,0.04
JERSEY,999,999,999,999
LORIENT,29.8,54,4,0
ROCHEFORT,29.99,41,2,0
PLYMOUTH,29.57,50,1,0
WEYMOUTH,29.61,52,2,0.13
PORTSMOUTH,29.65,48,3,0
KEW,29.62,51,4,0
LONDON,29.62,51,3,0
YARMOUTH,29.61,48,2,0
SCARBOROUGH,29.25,50,1,0
SHIELDS,29.11,52,3,0
HELIGOLAND,29.74,44,0,0.36
COPENHAGEN,29.64,43,999,0
HELDER,29.71,48,999,0
BAYONNE,999,48,999,0
OPORTO,999,999,999,999
LISBON,29.96,47,999,0
