1863,5,6,Wednesday,DWR_1863_05-4.jpg
NAIRN,29.81,45,3,0
ABERDEEN,29.86,47,6,0.5
LEITH,29.85,51,5,0
ARDROSSAN,29.82,48,1,0.1
PORTRUSH,29.79,46,2,0
GALWAY,29.86,53,0,0.25
VALENTIA,29.95,53,1,999
QUEENSTOWN,29.96,58,1,0
HOLYHEAD,29.94,49,1,0
LIVERPOOL,30.02,43,6,0.01
PEMBROKE,30.06,52,3,0
PENZANCE,30.1,52,0,0
BREST,30.12,52,3,0
LORIENT,30.08,54,2,0
ROCHEFORT,30.16,54,1,0
PLYMOUTH,30.15,53,4,0
WEYMOUTH,30.06,50,5,0
PORTSMOUTH,30.03,54,5,0
KEW,30.06,52,6,0
LONDON,30.06,51,3,0.01
DOVER,30.07,53,1,0.25
YARMOUTH,30.08,49,3,0
SCARBOROUGH,29.99,48,3,0
SHIELDS,30,49,4,0
HELIGOLAND,30.12,45,3,0
COPENHAGEN,29.94,44,999,0
HELDER,30.11,46,999,0
LISBON,999,999,999,999
