1863,7,10,Friday,DWR_1863_07-8.jpg
NAIRN,30.25,62,4,0
ABERDEEN,30.27,66,4,0
LEITH,30.3,67,5,0
SHIELDS,30.37,66,5,0
SCARBOROUGH,30.35,65,4,0
GREENCASTLE,30.35,64,3,0
GALWAY,30.39,62,0,0
VALENTIA,30.4,61,3,0
QUEENSTOWN,30.37,62,1,0
LIVERPOOL,30.38,63,2,0
HOLYHEAD,30.35,62,2,0
PEMBROKE,30.38,63,3,0
PENZANCE,30.37,67,1,0
BREST,30.36,66,5,0
LORIENT,30.2,66,4,0
ROCHEFORT,30.2,66,5,0
PLYMOUTH,30.35,69,6,0
WEYMOUTH,30.36,67,6,0
PORTSMOUTH,30.31,67,7,0
LONDON,30.35,65,7,0
DOVER,30.34,67,3,0
YARMOUTH,30.34,64,4,0
HELDER,30.3,65,999,0
HELIGOLAND,30.32,61,3,0
